title,link,tag
Combine Two Tables,https://leetcode.com/problems/combine-two-tables/,leetcode::database
Second Highest Salary,https://leetcode.com/problems/second-highest-salary/,leetcode::database
Nth Highest Salary,https://leetcode.com/problems/nth-highest-salary/,leetcode::database
Rank Scores,https://leetcode.com/problems/rank-scores/,leetcode::database
Consecutive Numbers,https://leetcode.com/problems/consecutive-numbers/,leetcode::database
Employees Earning More Than Their Managers,https://leetcode.com/problems/employees-earning-more-than-their-managers/,leetcode::database
Duplicate Emails,https://leetcode.com/problems/duplicate-emails/,leetcode::database
Customers Who Never Order,https://leetcode.com/problems/customers-who-never-order/,leetcode::database
Department Highest Salary,https://leetcode.com/problems/department-highest-salary/,leetcode::database
Department Top Three Salaries,https://leetcode.com/problems/department-top-three-salaries/,leetcode::database
Delete Duplicate Emails,https://leetcode.com/problems/delete-duplicate-emails/,leetcode::database
Rising Temperature,https://leetcode.com/problems/rising-temperature/,leetcode::database
Trips and Users,https://leetcode.com/problems/trips-and-users/,leetcode::database
Game Play Analysis I,https://leetcode.com/problems/game-play-analysis-i/,leetcode::database
Game Play Analysis IV,https://leetcode.com/problems/game-play-analysis-iv/,leetcode::database
Managers with at Least 5 Direct Reports,https://leetcode.com/problems/managers-with-at-least-5-direct-reports/,leetcode::database
Employee Bonus,https://leetcode.com/problems/employee-bonus/,leetcode::database
Find Customer Referee,https://leetcode.com/problems/find-customer-referee/,leetcode::database
Investments in 2016,https://leetcode.com/problems/investments-in-2016/,leetcode::database
Customer Placing the Largest Number of Orders,https://leetcode.com/problems/customer-placing-the-largest-number-of-orders/,leetcode::database
Big Countries,https://leetcode.com/problems/big-countries/,leetcode::database
Classes With at Least 5 Students,https://leetcode.com/problems/classes-with-at-least-5-students/,leetcode::database
Human Traffic of Stadium,https://leetcode.com/problems/human-traffic-of-stadium/,leetcode::database
Friend Requests II: Who Has the Most Friends,https://leetcode.com/problems/friend-requests-ii-who-has-the-most-friends/,leetcode::database
Sales Person,https://leetcode.com/problems/sales-person/,leetcode::database
Tree Node,https://leetcode.com/problems/tree-node/,leetcode::database
Triangle Judgement,https://leetcode.com/problems/triangle-judgement/,leetcode::database
Biggest Single Number,https://leetcode.com/problems/biggest-single-number/,leetcode::database
Not Boring Movies,https://leetcode.com/problems/not-boring-movies/,leetcode::database
Exchange Seats,https://leetcode.com/problems/exchange-seats/,leetcode::database
Swap Sex of Employees,https://leetcode.com/problems/swap-sex-of-employees/,leetcode::database
Customers Who Bought All Products,https://leetcode.com/problems/customers-who-bought-all-products/,leetcode::database
Actors and Directors Who Cooperated At Least Three Times,https://leetcode.com/problems/actors-and-directors-who-cooperated-at-least-three-times/,leetcode::database
Product Sales Analysis I,https://leetcode.com/problems/product-sales-analysis-i/,leetcode::database
Product Sales Analysis III,https://leetcode.com/problems/product-sales-analysis-iii/,leetcode::database
Project Employees I,https://leetcode.com/problems/project-employees-i/,leetcode::database
Sales Analysis III,https://leetcode.com/problems/sales-analysis-iii/,leetcode::database
User Activity for the Past 30 Days I,https://leetcode.com/problems/user-activity-for-the-past-30-days-i/,leetcode::database
Article Views I,https://leetcode.com/problems/article-views-i/,leetcode::database
Market Analysis I,https://leetcode.com/problems/market-analysis-i/,leetcode::database
Product Price at a Given Date,https://leetcode.com/problems/product-price-at-a-given-date/,leetcode::database
Immediate Food Delivery II,https://leetcode.com/problems/immediate-food-delivery-ii/,leetcode::database
Reformat Department Table,https://leetcode.com/problems/reformat-department-table/,leetcode::database
Monthly Transactions I,https://leetcode.com/problems/monthly-transactions-i/,leetcode::database
Last Person to Fit in the Bus,https://leetcode.com/problems/last-person-to-fit-in-the-bus/,leetcode::database
Queries Quality and Percentage,https://leetcode.com/problems/queries-quality-and-percentage/,leetcode::database
Average Selling Price,https://leetcode.com/problems/average-selling-price/,leetcode::database
Students and Examinations,https://leetcode.com/problems/students-and-examinations/,leetcode::database
Restaurant Growth,https://leetcode.com/problems/restaurant-growth/,leetcode::database
List the Products Ordered in a Period,https://leetcode.com/problems/list-the-products-ordered-in-a-period/,leetcode::database
Movie Rating,https://leetcode.com/problems/movie-rating/,leetcode::database
Replace Employee ID With The Unique Identifier,https://leetcode.com/problems/replace-employee-id-with-the-unique-identifier/,leetcode::database
Capital Gain/Loss,https://leetcode.com/problems/capital-gainloss/,leetcode::database
Top Travellers,https://leetcode.com/problems/top-travellers/,leetcode::database
Group Sold Products By The Date,https://leetcode.com/problems/group-sold-products-by-the-date/,leetcode::database
Find Users With Valid E-Mails,https://leetcode.com/problems/find-users-with-valid-e-mails/,leetcode::database
Patients With a Condition,https://leetcode.com/problems/patients-with-a-condition/,leetcode::database
Customer Who Visited but Did Not Make Any Transactions,https://leetcode.com/problems/customer-who-visited-but-did-not-make-any-transactions/,leetcode::database
Bank Account Summary II,https://leetcode.com/problems/bank-account-summary-ii/,leetcode::database
Percentage of Users Attended a Contest,https://leetcode.com/problems/percentage-of-users-attended-a-contest/,leetcode::database
Average Time of Process per Machine,https://leetcode.com/problems/average-time-of-process-per-machine/,leetcode::database
Fix Names in a Table,https://leetcode.com/problems/fix-names-in-a-table/,leetcode::database
Invalid Tweets,https://leetcode.com/problems/invalid-tweets/,leetcode::database
Daily Leads and Partners,https://leetcode.com/problems/daily-leads-and-partners/,leetcode::database
Find Followers Count,https://leetcode.com/problems/find-followers-count/,leetcode::database
The Number of Employees Which Report to Each Employee,https://leetcode.com/problems/the-number-of-employees-which-report-to-each-employee/,leetcode::database
Find Total Time Spent by Each Employee,https://leetcode.com/problems/find-total-time-spent-by-each-employee/,leetcode::database
Recyclable and Low Fat Products,https://leetcode.com/problems/recyclable-and-low-fat-products/,leetcode::database
Primary Department for Each Employee,https://leetcode.com/problems/primary-department-for-each-employee/,leetcode::database
Rearrange Products Table,https://leetcode.com/problems/rearrange-products-table/,leetcode::database
Calculate Special Bonus,https://leetcode.com/problems/calculate-special-bonus/,leetcode::database
The Latest Login in 2020,https://leetcode.com/problems/the-latest-login-in-2020/,leetcode::database
Count Salary Categories,https://leetcode.com/problems/count-salary-categories/,leetcode::database
Confirmation Rate,https://leetcode.com/problems/confirmation-rate/,leetcode::database
Employees With Missing Information,https://leetcode.com/problems/employees-with-missing-information/,leetcode::database
Employees Whose Manager Left the Company,https://leetcode.com/problems/employees-whose-manager-left-the-company/,leetcode::database
Number of Unique Subjects Taught by Each Teacher,https://leetcode.com/problems/number-of-unique-subjects-taught-by-each-teacher/,leetcode::database
Odd and Even Transactions,https://leetcode.com/problems/odd-and-even-transactions/,leetcode::database
First Letter Capitalization II,https://leetcode.com/problems/first-letter-capitalization-ii/,leetcode::database
Find Students Who Improved,https://leetcode.com/problems/find-students-who-improved/,leetcode::database
Find Valid Emails,https://leetcode.com/problems/find-valid-emails/,leetcode::database
Find Invalid IP Addresses,https://leetcode.com/problems/find-invalid-ip-addresses/,leetcode::database
Find Products with Valid Serial Numbers,https://leetcode.com/problems/find-products-with-valid-serial-numbers/,leetcode::database
DNA Pattern Recognition ,https://leetcode.com/problems/dna-pattern-recognition/,leetcode::database
Analyze Organization Hierarchy,https://leetcode.com/problems/analyze-organization-hierarchy/,leetcode::database
Analyze Subscription Conversion ,https://leetcode.com/problems/analyze-subscription-conversion/,leetcode::database
Find Product Recommendation Pairs,https://leetcode.com/problems/find-product-recommendation-pairs/,leetcode::database
Find Category Recommendation Pairs,https://leetcode.com/problems/find-category-recommendation-pairs/,leetcode::database
Seasonal Sales Analysis,https://leetcode.com/problems/seasonal-sales-analysis/,leetcode::database
Find Books with No Available Copies,https://leetcode.com/problems/find-books-with-no-available-copies/,leetcode::database
Find Consistently Improving Employees,https://leetcode.com/problems/find-consistently-improving-employees/,leetcode::database
Find COVID Recovery Patients,https://leetcode.com/problems/find-covid-recovery-patients/,leetcode::database
Find Drivers with Improved Fuel Efficiency,https://leetcode.com/problems/find-drivers-with-improved-fuel-efficiency/,leetcode::database
